,Date,Event,Race_Type,Finish,Start,Driver,Rookie
1745,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,4,17,Ronnie Williams,
1748,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,7,20,Marcello Rufrano,R
1749,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,8,9,Nick Salva,
1750,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,9,12,"Michael Christopher, Jr.",
1751,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,10,23,Dan Avery,
1752,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,11,18,Glen Reen,
1788,2019-05-04, Opening Day ,SK Modified Feature,20,15,Marcello Rufrano,R
1784,2019-05-04, Opening Day ,SK Modified Feature,16,27,John Catania,
1785,2019-05-04, Opening Day ,SK Modified Feature,17,9,Ronnie Williams,
1786,2019-05-04, Opening Day ,SK Modified Feature,18,4,Glen Reen,
1787,2019-05-04, Opening Day ,SK Modified Feature,19,19,Cory DiMatteo,
1795,2019-05-04, Opening Day ,SK Modified Feature,27,12,Matt Vassar,
1794,2019-05-04, Opening Day ,SK Modified Feature,26,21,Darin Renihan,
1789,2019-05-04, Opening Day ,SK Modified Feature,21,16,Jeff Malave,
1790,2019-05-04, Opening Day ,SK Modified Feature,22,14,Tom Bolles,
1791,2019-05-04, Opening Day ,SK Modified Feature,23,6,Dan Avery,
1792,2019-05-04, Opening Day ,SK Modified Feature,24,18,Dan Wesson,
1793,2019-05-04, Opening Day ,SK Modified Feature,25,23,Chris Jones,
1782,2019-05-04, Opening Day ,SK Modified Feature,14,24,Ed Spiers,
1783,2019-05-04, Opening Day ,SK Modified Feature,15,8,Troy Talman,
1776,2019-05-04, Opening Day ,SK Modified Feature,8,10,Stephen Kopcik,
1781,2019-05-04, Opening Day ,SK Modified Feature,13,20,"Tony Membrino, Jr.",
1773,2019-05-04, Opening Day ,SK Modified Feature,5,3,Todd Owen,
1780,2019-05-04, Opening Day ,SK Modified Feature,12,11,Tyler Hines,
1769,2019-05-04, Opening Day ,SK Modified Feature,1,1,Keith Rocco,
1771,2019-05-04, Opening Day ,SK Modified Feature,3,7,"Michael Christopher, Jr.",
1772,2019-05-04, Opening Day ,SK Modified Feature,4,17,"Joey Cipriano, III",
1770,2019-05-04, Opening Day ,SK Modified Feature,2,2,"Michael Gervais, Jr.",
1774,2019-05-04, Opening Day ,SK Modified Feature,6,13,Nick Salva,
1775,2019-05-04, Opening Day ,SK Modified Feature,7,22,Andrew Molleur,R
1777,2019-05-04, Opening Day ,SK Modified Feature,9,25,Matt Galko,
1778,2019-05-04, Opening Day ,SK Modified Feature,10,26,Eric Berndt,
1779,2019-05-04, Opening Day ,SK Modified Feature,11,5,David Arute,
816,2018-09-30, NAPA Fall Final ,SK Modified Feature,12,12,Robert Palmer,
824,2018-09-30, NAPA Fall Final ,SK Modified Feature,20,25,Shawn Thibeault,
823,2018-09-30, NAPA Fall Final ,SK Modified Feature,19,21,"Joe Allegro, Jr.",
822,2018-09-30, NAPA Fall Final ,SK Modified Feature,18,3,Josh Wood,
821,2018-09-30, NAPA Fall Final ,SK Modified Feature,17,18,Stephen Kopcik,
820,2018-09-30, NAPA Fall Final ,SK Modified Feature,16,1,David Arute,R
819,2018-09-30, NAPA Fall Final ,SK Modified Feature,15,17,Nick Salva,
818,2018-09-30, NAPA Fall Final ,SK Modified Feature,14,16,Marcello Rufrano,R
817,2018-09-30, NAPA Fall Final ,SK Modified Feature,13,4,Tyler Hines,
810,2018-09-30, NAPA Fall Final ,SK Modified Feature,6,14,Max Zachem,
815,2018-09-30, NAPA Fall Final ,SK Modified Feature,11,19,Cory DiMatteo,R
814,2018-09-30, NAPA Fall Final ,SK Modified Feature,10,20,John Montesanto,
813,2018-09-30, NAPA Fall Final ,SK Modified Feature,9,12,Glen Reen,
812,2018-09-30, NAPA Fall Final ,SK Modified Feature,8,23,Troy Talman,
811,2018-09-30, NAPA Fall Final ,SK Modified Feature,7,2,Matt Galko,
826,2018-09-30, NAPA Fall Final ,SK Modified Feature,22,22,Matt Vassar,R
809,2018-09-30, NAPA Fall Final ,SK Modified Feature,5,6,Eric Berndt,
808,2018-09-30, NAPA Fall Final ,SK Modified Feature,4,7,"Joey Cipriano, III",
807,2018-09-30, NAPA Fall Final ,SK Modified Feature,3,8,Todd Owen,
825,2018-09-30, NAPA Fall Final ,SK Modified Feature,21,5,"Tony Membrino, Jr.",
806,2018-09-30, NAPA Fall Final ,SK Modified Feature,2,10,Keith Rocco,
827,2018-09-30, NAPA Fall Final ,SK Modified Feature,23,9,"Michael Gervais, Jr.",
829,2018-09-30, NAPA Fall Final ,SK Modified Feature,25,15,Dan Avery,
805,2018-09-30, NAPA Fall Final ,SK Modified Feature,1,13,"Michael Christopher, Jr.",
828,2018-09-30, NAPA Fall Final ,SK Modified Feature,24,11,Ronnie Williams,
839,2018-09-14, ,SK Modified Feature,10,14,Max Zachem,
847,2018-09-14, ,SK Modified Feature,18,2,Matt Vassar,R
846,2018-09-14, ,SK Modified Feature,17,8,Chase Dowling,
845,2018-09-14, ,SK Modified Feature,16,10,Keith Rocco,
843,2018-09-14, ,SK Modified Feature,14,12,Stephen Kopcik,
842,2018-09-14, ,SK Modified Feature,13,18,David Arute,R
841,2018-09-14, ,SK Modified Feature,12,16,Josh Wood,
840,2018-09-14, ,SK Modified Feature,11,1,Tyler Hines,
837,2018-09-14, ,SK Modified Feature,8,15,Tom Bolles,
838,2018-09-14, ,SK Modified Feature,9,17,"Tony Membrino, Jr.",
836,2018-09-14, ,SK Modified Feature,7,5,"Joey Cipriano, III",
835,2018-09-14, ,SK Modified Feature,6,9,Ronnie Williams,
834,2018-09-14, ,SK Modified Feature,5,11,Eric Berndt,
833,2018-09-14, ,SK Modified Feature,4,7,"Michael Gervais, Jr.",
831,2018-09-14, ,SK Modified Feature,2,6,Glen Reen,
830,2018-09-14, ,SK Modified Feature,1,13,"Michael Christopher, Jr.",
832,2018-09-14, ,SK Modified Feature,3,4,Todd Owen,
844,2018-09-14, ,SK Modified Feature,15,3,Matt Galko,
857,2018-09-07, ,SK Modified Feature,10,15,Josh Wood,
856,2018-09-07, ,SK Modified Feature,9,4,Matt Galko,
863,2018-09-07, ,SK Modified Feature,16,3,Matt Vassar,R
862,2018-09-07, ,SK Modified Feature,15,13,Keith Rocco,
861,2018-09-07, ,SK Modified Feature,14,1,Tyler Hines,
860,2018-09-07, ,SK Modified Feature,13,16,David Arute,R
859,2018-09-07, ,SK Modified Feature,12,7,Todd Owen,
858,2018-09-07, ,SK Modified Feature,11,2,"Tony Membrino, Jr.",
855,2018-09-07, ,SK Modified Feature,8,11,"Joey Cipriano, III",
854,2018-09-07, ,SK Modified Feature,7,12,Eric Berndt,
853,2018-09-07, ,SK Modified Feature,6,6,"Michael Gervais, Jr.",
852,2018-09-07, ,SK Modified Feature,5,9,Ronnie Williams,
851,2018-09-07, ,SK Modified Feature,4,5,Glen Reen,
850,2018-09-07, ,SK Modified Feature,3,8,Chase Dowling,
849,2018-09-07, ,SK Modified Feature,2,14,Woody Pitkat,
848,2018-09-07, ,SK Modified Feature,1,10,"Michael Christopher, Jr.",
864,2018-09-07, ,SK Modified Feature,17,17,Nick Giardina,R
866,2018-08-31, ,SK Modified Feature,2,5,Ronnie Williams,
868,2018-08-31, ,SK Modified Feature,4,13,Glen Reen,
871,2018-08-31, ,SK Modified Feature,7,20,Cory DiMatteo,R
865,2018-08-31, ,SK Modified Feature,1,14,Keith Rocco,
870,2018-08-31, ,SK Modified Feature,6,10,"Joey Cipriano, III",
869,2018-08-31, ,SK Modified Feature,5,11,"Michael Christopher, Jr.",
867,2018-08-31, ,SK Modified Feature,3,1,"Michael Gervais, Jr.",
885,2018-08-31, ,SK Modified Feature,21,15,Eric Berndt,
878,2018-08-31, ,SK Modified Feature,14,4,David Arute,R
872,2018-08-31, ,SK Modified Feature,8,8,Chase Dowling,
884,2018-08-31, ,SK Modified Feature,20,2,Stephen Kopcik,
883,2018-08-31, ,SK Modified Feature,19,6,Matt Vassar,
882,2018-08-31, ,SK Modified Feature,18,19,Dan Avery,
881,2018-08-31, ,SK Modified Feature,17,21,"Tommy Membrino, Jr.",
879,2018-08-31, ,SK Modified Feature,15,18,Josh Wood,
880,2018-08-31, ,SK Modified Feature,16,17,Troy Talman,
877,2018-08-31, ,SK Modified Feature,13,12,Matt Galko,
876,2018-08-31, ,SK Modified Feature,12,7,Tom Bolles,
875,2018-08-31, ,SK Modified Feature,11,3,Tyler Hines,
874,2018-08-31, ,SK Modified Feature,10,16,"Tony Membrino, Jr.",
873,2018-08-31, ,SK Modified Feature,9,9,Todd Owen,
892,2018-08-24, ,SK Modified Feature,7,17,Josh Wood,
901,2018-08-24, ,SK Modified Feature,16,16,Tom Bolles,
900,2018-08-24, ,SK Modified Feature,15,4,David Arute,
899,2018-08-24, ,SK Modified Feature,14,3,Troy Talman,
898,2018-08-24, ,SK Modified Feature,13,12,Keith Rocco,
897,2018-08-24, ,SK Modified Feature,12,7,Ronnie Williams,
896,2018-08-24, ,SK Modified Feature,11,15,Nick Salva,
895,2018-08-24, ,SK Modified Feature,10,10,Stephen Kopcik,
891,2018-08-24, ,SK Modified Feature,6,8,Chase Dowling,
890,2018-08-24, ,SK Modified Feature,5,1,Matt Vassar,R
889,2018-08-24, ,SK Modified Feature,4,11,Matt Galko,
888,2018-08-24, ,SK Modified Feature,3,6,Todd Owen,
887,2018-08-24, ,SK Modified Feature,2,6,"Michael Christopher, Jr.",
886,2018-08-24, ,SK Modified Feature,1,14,Eric Berndt,
903,2018-08-24, ,SK Modified Feature,18,2,"Michael Gervais, Jr.",
902,2018-08-24, ,SK Modified Feature,17,18,"Tony Membrino, Jr.",
904,2018-08-24, ,SK Modified Feature,19,13,Glen Reen,
894,2018-08-24, ,SK Modified Feature,9,9,Joey Ferrigno,
893,2018-08-24, ,SK Modified Feature,8,19,"Tony Membrino, Jr.",
906,2018-08-10, ,SK Modified Feature,2,6,"Joey Cipriano, III",
917,2018-08-10, ,SK Modified Feature,13,9,Tyler Hines,
907,2018-08-10, ,SK Modified Feature,3,13,Chase Dowling,
905,2018-08-10, ,SK Modified Feature,1,5,Keith Rocco,
924,2018-08-10, ,SK Modified Feature,20,15,"Tony Membrino, Jr.",
923,2018-08-10, ,SK Modified Feature,19,19,"Michael Christopher, Jr.",
922,2018-08-10, ,SK Modified Feature,18,17,Nick Salva,
920,2018-08-10, ,SK Modified Feature,16,11,Glen Reen,
919,2018-08-10, ,SK Modified Feature,15,18,Matt Galko,
918,2018-08-10, ,SK Modified Feature,14,2,Matt Vassar,R
921,2018-08-10, ,SK Modified Feature,17,10,Stephen Kopcik,
916,2018-08-10, ,SK Modified Feature,12,12,Ronnie Williams,
914,2018-08-10, ,SK Modified Feature,10,1,Troy Talman,
913,2018-08-10, ,SK Modified Feature,9,8,Tom Bolles,
912,2018-08-10, ,SK Modified Feature,8,20,Josh Wood,
911,2018-08-10, ,SK Modified Feature,7,3,David Arute,R
910,2018-08-10, ,SK Modified Feature,6,14,Cory DiMatteo,R
915,2018-08-10, ,SK Modified Feature,11,7,"Michael Gervais, Jr.",
908,2018-08-10, ,SK Modified Feature,4,16,Eric Berndt,
909,2018-08-10, ,SK Modified Feature,5,4,Todd Owen,
940,2018-08-03, ,SK Modified Feature,16,20,Dan Avery,
938,2018-08-03, ,SK Modified Feature,14,21,Cory DiMatteo,R
939,2018-08-03, ,SK Modified Feature,15,5,"Joey Cipriano, III",
944,2018-08-03, ,SK Modified Feature,20,7,Keith Rocco,
941,2018-08-03, ,SK Modified Feature,17,12,Stephen Kopcik,
942,2018-08-03, ,SK Modified Feature,18,13,Chase Dowling,
943,2018-08-03, ,SK Modified Feature,19,15,Eric Berndt,
945,2018-08-03, ,SK Modified Feature,21,9,"Michael Gervais, Jr.",
936,2018-08-03, ,SK Modified Feature,12,17,Troy Talman,
937,2018-08-03, ,SK Modified Feature,13,19,Josh Wood,
932,2018-08-03, ,SK Modified Feature,8,16,"Tony Membrino, Jr.",
935,2018-08-03, ,SK Modified Feature,11,18,"Doug Meservey, Jr.",R
927,2018-08-03, ,SK Modified Feature,3,2,Tom Bolles,
934,2018-08-03, ,SK Modified Feature,10,1,Matt Vassar,R
925,2018-08-03, ,SK Modified Feature,1,6,Glen Reen,
926,2018-08-03, ,SK Modified Feature,2,10,Matt Galko,
931,2018-08-03, ,SK Modified Feature,7,14,Ronnie Williams,
928,2018-08-03, ,SK Modified Feature,4,4,Tyler Hines,
929,2018-08-03, ,SK Modified Feature,5,8,"Michael Christopher, Jr.",
930,2018-08-03, ,SK Modified Feature,6,11,Todd Owen,
933,2018-08-03, ,SK Modified Feature,9,3,David Arute,R
946,2018-07-27, ,SK Modified Feature,1,12,Eric Berndt,
948,2018-07-27, ,SK Modified Feature,3,13,Ronnie Williams,
949,2018-07-27, ,SK Modified Feature,4,5,"Michael Christopher, Jr.",
950,2018-07-27, ,SK Modified Feature,5,11,Chase Dowling,
951,2018-07-27, ,SK Modified Feature,6,1,Tyler Hines,
952,2018-07-27, ,SK Modified Feature,7,8,Matt Galko,
953,2018-07-27, ,SK Modified Feature,8,15,Dan Avery,
954,2018-07-27, ,SK Modified Feature,9,4,Glen Reen,
955,2018-07-27, ,SK Modified Feature,10,6,Keith Rocco,
956,2018-07-27, ,SK Modified Feature,11,9,"Michael Gervais, Jr.",
947,2018-07-27, ,SK Modified Feature,2,10,Stephen Kopcik,
957,2018-07-27, ,SK Modified Feature,12,14,"Tony Membrino, Jr.",
964,2018-07-27, ,SK Modified Feature,19,21,Nick Salva,
962,2018-07-27, ,SK Modified Feature,17,3,Matt Vassar,
959,2018-07-27, ,SK Modified Feature,14,16,Todd Owen,
960,2018-07-27, ,SK Modified Feature,15,20,David Arute,R
961,2018-07-27, ,SK Modified Feature,16,19,"Doug Meservey, Jr.",R
966,2018-07-27, ,SK Modified Feature,21,7,"Joey Cipriano, III",
965,2018-07-27, ,SK Modified Feature,20,2,Tom Bolles,
958,2018-07-27, ,SK Modified Feature,13,17,Cory DiMatteo,R
963,2018-07-27, ,SK Modified Feature,18,18,Troy Talman,
985,2018-07-20, ,SK Modified Feature,19,9,Keith Rocco,
984,2018-07-20, ,SK Modified Feature,18,16,Cory DiMatteo,
983,2018-07-20, ,SK Modified Feature,17,12,Josh Wood,
982,2018-07-20, ,SK Modified Feature,16,15,Troy Talman,
981,2018-07-20, ,SK Modified Feature,15,2,Matt Vassar,R
980,2018-07-20, ,SK Modified Feature,14,20,Glen Reen,
979,2018-07-20, ,SK Modified Feature,13,13,"Doug Meservey, Jr.",R
977,2018-07-20, ,SK Modified Feature,11,14,Nick Salva,
967,2018-07-20, ,SK Modified Feature,1,11,Ronnie Williams,
968,2018-07-20, ,SK Modified Feature,2,10,Eric Berndt,
969,2018-07-20, ,SK Modified Feature,3,3,"Michael Gervais, Jr.",
970,2018-07-20, ,SK Modified Feature,4,4,Matt Galko,
971,2018-07-20, ,SK Modified Feature,5,19,Dan Avery,
972,2018-07-20, ,SK Modified Feature,6,7,Stephen Kopcik,
973,2018-07-20, ,SK Modified Feature,7,8,Todd Owen,
974,2018-07-20, ,SK Modified Feature,8,18,David Arute,R
975,2018-07-20, ,SK Modified Feature,9,5,"Joey Cipriano, III",
976,2018-07-20, ,SK Modified Feature,10,17,Tom Bolles,
986,2018-07-20, ,SK Modified Feature,20,6,"Michael Christopher, Jr.",
978,2018-07-20, ,SK Modified Feature,12,1,Tyler Hines,
993,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,7,11,Ronnie Williams,
1013,2018-07-13, ,SK Modified Feature,14,18,"Doug Meservey, Jr.",R
1007,2018-07-13, ,SK Modified Feature,8,12,"Joey Cipriano, III",
1008,2018-07-13, ,SK Modified Feature,9,15,David Arute,R
1009,2018-07-13, ,SK Modified Feature,10,8,Stephen Kopcik,
1010,2018-07-13, ,SK Modified Feature,11,5,Matt Galko,
1011,2018-07-13, ,SK Modified Feature,12,10,"Michael Christopher, Jr.",
1012,2018-07-13, ,SK Modified Feature,13,22,Matt Vassar,R
1014,2018-07-13, ,SK Modified Feature,15,2,Tyler Hines,
992,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,6,3,Stephen Kopcik,
1016,2018-07-13, ,SK Modified Feature,17,21,Nick Salva,
1017,2018-07-13, ,SK Modified Feature,18,3,"Tony Membrino, Jr.",
1018,2018-07-13, ,SK Modified Feature,19,19,Dan Avery,
1019,2018-07-13, ,SK Modified Feature,20,4,"Michael Gervais, Jr.",
1020,2018-07-13, ,SK Modified Feature,21,1,Tom Bolles,
1021,2018-07-13, ,SK Modified Feature,22,16,Josh Wood,
1006,2018-07-13, ,SK Modified Feature,7,7,Glen Reen,
1005,2018-07-13, ,SK Modified Feature,6,13,Chase Dowling,
1004,2018-07-13, ,SK Modified Feature,5,9,Keith Rocco,
1003,2018-07-13, ,SK Modified Feature,4,17,Troy Talman,
1002,2018-07-13, ,SK Modified Feature,3,6,Todd Owen,
1001,2018-07-13, ,SK Modified Feature,2,14,Ronnie Williams,
1000,2018-07-13, ,SK Modified Feature,1,11,Eric Berndt,
999,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,13,8,Keith Rocco,
998,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,12,4,David Arute,R
997,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,11,12,Eric Berndt,
996,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,10,13,Matt Vassar,R
995,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,9,2,Matt Galko,
987,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,1,6,Glen Reen,
988,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,2,7,Chase Dowling,
989,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,3,10,Todd Owen,
990,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,4,9,Troy Talman,
994,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,8,1,"Michael Christopher, Jr.",
991,2018-07-13, TC 13 Shoot Out ,SK Modified Feature,5,5,"Joey Cipriano, III",
1015,2018-07-13, ,SK Modified Feature,16,20,John Catania,
1032,2018-07-06, ,SK Modified Feature,11,17,David Arute,R
1031,2018-07-06, ,SK Modified Feature,10,15,"Tommy Membrino, Jr.",
1039,2018-07-06, ,SK Modified Feature,18,9,Keith Rocco,
1038,2018-07-06, ,SK Modified Feature,17,13,"Doug Meservey, Jr.",R
1037,2018-07-06, ,SK Modified Feature,16,14,Tyler Hines,
1036,2018-07-06, ,SK Modified Feature,15,19,Tom Bolles,
1035,2018-07-06, ,SK Modified Feature,14,18,Josh Wood,
1034,2018-07-06, ,SK Modified Feature,13,8,"Joey Cipriano, III",
1033,2018-07-06, ,SK Modified Feature,12,12,Chase Dowling,
1030,2018-07-06, ,SK Modified Feature,9,1,Matt Vassar,R
1029,2018-07-06, ,SK Modified Feature,8,5,Matt Galko,
1028,2018-07-06, ,SK Modified Feature,7,3,"Tony Membrino, Jr.",
1027,2018-07-06, ,SK Modified Feature,6,2,"Michael Gervais, Jr.",
1026,2018-07-06, ,SK Modified Feature,5,7,Glen Reen,
1025,2018-07-06, ,SK Modified Feature,4,16,Todd Owen,
1024,2018-07-06, ,SK Modified Feature,3,6,Stephen Kopcik,
1023,2018-07-06, ,SK Modified Feature,2,4,Eric Berndt,
1022,2018-07-06, ,SK Modified Feature,1,10,Ronnie Williams,
1040,2018-07-06, ,SK Modified Feature,19,11,"Michael Christopher, Jr.",
1041,2018-06-29, NAPA Auto Parts ,SK Modified Feature,1,10,Ronnie Williams,
1042,2018-06-29, NAPA Auto Parts ,SK Modified Feature,2,7,Keith Rocco,
1053,2018-06-29, NAPA Auto Parts ,SK Modified Feature,13,3,"Tony Membrino, Jr.",
1045,2018-06-29, NAPA Auto Parts ,SK Modified Feature,5,11,"Michael Christopher, Jr.",
1044,2018-06-29, NAPA Auto Parts ,SK Modified Feature,4,2,Eric Berndt,
1043,2018-06-29, NAPA Auto Parts ,SK Modified Feature,3,20,Chase Dowling,
1046,2018-06-29, NAPA Auto Parts ,SK Modified Feature,6,9,Glen Reen,
1056,2018-06-29, NAPA Auto Parts ,SK Modified Feature,16,23,David Arute,R
1064,2018-06-29, NAPA Auto Parts ,SK Modified Feature,24,18,Stephen Kopcik,
1063,2018-06-29, NAPA Auto Parts ,SK Modified Feature,23,1,Tyler Hines,
1062,2018-06-29, NAPA Auto Parts ,SK Modified Feature,22,8,"Joey Cipriano, III",
1061,2018-06-29, NAPA Auto Parts ,SK Modified Feature,21,5,Rowan Pennink,
1047,2018-06-29, NAPA Auto Parts ,SK Modified Feature,7,6,Matt Galko,
1059,2018-06-29, NAPA Auto Parts ,SK Modified Feature,19,21,Dan Avery,
1058,2018-06-29, NAPA Auto Parts ,SK Modified Feature,18,17,Tom Bolles,
1057,2018-06-29, NAPA Auto Parts ,SK Modified Feature,17,22,"Doug Meservey, Jr.",R
1060,2018-06-29, NAPA Auto Parts ,SK Modified Feature,20,12,Dan Wesson,R
1055,2018-06-29, NAPA Auto Parts ,SK Modified Feature,15,19,"Tommy Membrino, Jr.",
1052,2018-06-29, NAPA Auto Parts ,SK Modified Feature,12,16,John Studley,R
1051,2018-06-29, NAPA Auto Parts ,SK Modified Feature,11,25,Matt Vassar,R
1050,2018-06-29, NAPA Auto Parts ,SK Modified Feature,10,15,Todd Owen,
1049,2018-06-29, NAPA Auto Parts ,SK Modified Feature,9,14,Nick Salva,
1048,2018-06-29, NAPA Auto Parts ,SK Modified Feature,8,13,Troy Talman,
1054,2018-06-29, NAPA Auto Parts ,SK Modified Feature,14,4,"Michael Gervais, Jr.",
1072,2018-06-22, ,SK Modified Feature,8,2,Josh Wood,
1076,2018-06-22, ,SK Modified Feature,12,8,Matt Galko,
1075,2018-06-22, ,SK Modified Feature,11,18,"Tony Membrino, Jr.",
1074,2018-06-22, ,SK Modified Feature,10,1,Tyler Hines,
1073,2018-06-22, ,SK Modified Feature,9,7,"Michael Gervais, Jr.",
1065,2018-06-22, ,SK Modified Feature,1,3,"Joey Cipriano, III",
1068,2018-06-22, ,SK Modified Feature,4,12,Glen Reen,
1067,2018-06-22, ,SK Modified Feature,3,4,Stephen Kopcik,
1066,2018-06-22, ,SK Modified Feature,2,13,"Michael Christopher, Jr.",
1078,2018-06-22, ,SK Modified Feature,14,6,Tom Bolles,
1071,2018-06-22, ,SK Modified Feature,7,5,Rowan Pennink,
1077,2018-06-22, ,SK Modified Feature,13,9,Todd Owen,
1079,2018-06-22, ,SK Modified Feature,15,15,Matt Vassar,R
1070,2018-06-22, ,SK Modified Feature,6,10,Keith Rocco,
1083,2018-06-22, ,SK Modified Feature,19,19,Cory DiMatteo,R
1080,2018-06-22, ,SK Modified Feature,16,16,David Arute,R
1069,2018-06-22, ,SK Modified Feature,5,14,Ronnie Williams,
1082,2018-06-22, ,SK Modified Feature,18,11,Eric Berndt,
1081,2018-06-22, ,SK Modified Feature,17,17,John Catania,
1097,2018-06-15, ,SK Modified Feature,14,9,"Michael Gervais, Jr.",
1084,2018-06-15, ,SK Modified Feature,1,6,"Michael Christopher, Jr.",
1107,2018-06-15, ,SK Modified Feature,24,24,Rowan Pennink,
1105,2018-06-15, ,SK Modified Feature,22,23,Zach Leone,
1104,2018-06-15, ,SK Modified Feature,21,20,"Doug Meservey, Jr.",R
1103,2018-06-15, ,SK Modified Feature,20,2,Dan Wesson,R
1102,2018-06-15, ,SK Modified Feature,19,17,Matt Vassar,R
1101,2018-06-15, ,SK Modified Feature,18,5,"Joey Cipriano, III",
1100,2018-06-15, ,SK Modified Feature,17,18,Nick Salva,
1099,2018-06-15, ,SK Modified Feature,16,11,Eric Berndt,
1098,2018-06-15, ,SK Modified Feature,15,16,David Arute,R
1106,2018-06-15, ,SK Modified Feature,23,1,Tyler Hines,
1096,2018-06-15, ,SK Modified Feature,13,22,Dan Avery,
1090,2018-06-15, ,SK Modified Feature,7,14,"Tommy Membrino, Jr.",
1085,2018-06-15, ,SK Modified Feature,2,15,Ryan Preece,
1086,2018-06-15, ,SK Modified Feature,3,10,Keith Rocco,
1087,2018-06-15, ,SK Modified Feature,4,7,Todd Owen,
1089,2018-06-15, ,SK Modified Feature,6,12,Glen Reen,
1088,2018-06-15, ,SK Modified Feature,5,8,Matt Galko,
1091,2018-06-15, ,SK Modified Feature,8,13,Ronnie Williams,
1092,2018-06-15, ,SK Modified Feature,9,19,Chase Dowling,
1093,2018-06-15, ,SK Modified Feature,10,4,Stephen Kopcik,
1094,2018-06-15, ,SK Modified Feature,11,3,Tom Bolles,
1095,2018-06-15, ,SK Modified Feature,12,21,Josh Wood,
1128,2018-06-08, ,SK Modified Feature,21,3,Dan Wesson,R
1124,2018-06-08, ,SK Modified Feature,17,10,"Joey Cipriano, III",
1125,2018-06-08, ,SK Modified Feature,18,13,Rowan Pennink,
1126,2018-06-08, ,SK Modified Feature,19,17,Matt Vassar,
1127,2018-06-08, ,SK Modified Feature,20,22,"Tony Membrino, Jr.",
1133,2018-06-08, ,SK Modified Feature,26,24,Ryan Preece,
1129,2018-06-08, ,SK Modified Feature,22,18,Josh Wood,
1130,2018-06-08, ,SK Modified Feature,23,5,Troy Talman,
1131,2018-06-08, ,SK Modified Feature,24,2,Tyler Hines,
1132,2018-06-08, ,SK Modified Feature,25,23,"Tommy Membrino, Jr.",
1122,2018-06-08, ,SK Modified Feature,15,20,David Arute,R
1123,2018-06-08, ,SK Modified Feature,16,16,D.J. Burnham,
1116,2018-06-08, ,SK Modified Feature,9,7,"Michael Christopher, Jr.",
1121,2018-06-08, ,SK Modified Feature,14,25,John Catania,
1120,2018-06-08, ,SK Modified Feature,13,19,"Doug Meservey, Jr.",R
1119,2018-06-08, ,SK Modified Feature,12,4,Stephen Kopcik,
1118,2018-06-08, ,SK Modified Feature,11,11,Eric Berndt,
1117,2018-06-08, ,SK Modified Feature,10,8,Todd Owen,
1114,2018-06-08, ,SK Modified Feature,7,1,Tom Bolles,
1113,2018-06-08, ,SK Modified Feature,6,15,Keith Rocco,
1112,2018-06-08, ,SK Modified Feature,5,6,Matt Galko,
1111,2018-06-08, ,SK Modified Feature,4,9,"Michael Gervais, Jr.",
1110,2018-06-08, ,SK Modified Feature,3,26,Dan Avery,
1109,2018-06-08, ,SK Modified Feature,2,21,Glen Reen,
1108,2018-06-08, ,SK Modified Feature,1,14,Ronnie Williams,
1115,2018-06-08, ,SK Modified Feature,8,12,Chase Dowling,
1148,2018-06-01, ,SK Modified Feature,15,1,D.J. Burnham,
1150,2018-06-01, ,SK Modified Feature,17,24,Rowan Pennink,
1146,2018-06-01, ,SK Modified Feature,13,16,Dan Wesson,R
1145,2018-06-01, ,SK Modified Feature,12,15,Dan Avery,
1144,2018-06-01, ,SK Modified Feature,11,8,"Michael Gervais, Jr.",
1143,2018-06-01, ,SK Modified Feature,10,18,"Joey Cipriano, III",
1142,2018-06-01, ,SK Modified Feature,9,14,Ryan Preece,
1141,2018-06-01, ,SK Modified Feature,8,11,Keith Rocco,
1140,2018-06-01, ,SK Modified Feature,7,5,Matt Galko,
1139,2018-06-01, ,SK Modified Feature,6,13,Glen Reen,
1138,2018-06-01, ,SK Modified Feature,5,7,"Michael Christopher, Jr.",
1137,2018-06-01, ,SK Modified Feature,4,2,Todd Owen,
1136,2018-06-01, ,SK Modified Feature,3,9,Ronnie Williams,
1135,2018-06-01, ,SK Modified Feature,2,10,Eric Berndt,
1134,2018-06-01, ,SK Modified Feature,1,3,Chase Dowling,
1149,2018-06-01, ,SK Modified Feature,16,6,Stephen Kopcik,
1147,2018-06-01, ,SK Modified Feature,14,20,Josh Wood,
1157,2018-06-01, ,SK Modified Feature,24,19,David Arute,R
